PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;49;12;28079049_12_8;2023;10;04;83;V;26;V;10;V;10;V;14;V;12;V;20;V;29;V;40;V;43;V;54;V;26;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;49;14;28079049_14_6;2023;10;04;28;V;55;V;64;V;62;V;55;V;46;V;35;V;27;V;30;V;28;V;33;V;61;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;7;28079050_7_8;2023;10;04;5;V;1;V;1;V;1;V;1;V;1;V;1;V;9;V;13;V;9;V;6;V;9;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;8;28079050_8_8;2023;10;04;57;V;19;V;12;V;6;V;7;V;11;V;20;V;59;V;67;V;42;V;26;V;25;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;9;28079050_9_47;2023;10;04;16;V;12;V;12;V;8;V;8;V;6;V;10;V;11;V;10;V;11;V;12;V;12;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;10;28079050_10_47;2023;10;04;41;V;28;V;25;V;20;V;19;V;17;V;22;V;25;V;30;V;31;V;29;V;27;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;12;28079050_12_8;2023;10;04;66;V;20;V;14;V;8;V;8;V;12;V;22;V;72;V;87;V;56;V;35;V;38;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;54;7;28079054_7_8;2023;10;04;15;V;3;V;2;V;2;V;2;V;2;V;3;V;7;V;23;V;29;V;17;V;4;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;54;8;28079054_8_8;2023;10;04;92;V;47;V;29;V;17;V;16;V;19;V;29;V;50;V;65;V;63;V;57;V;44;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;54;12;28079054_12_8;2023;10;04;116;V;51;V;33;V;20;V;19;V;21;V;33;V;61;V;101;V;108;V;83;V;50;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;54;14;28079054_14_6;2023;10;04;17;V;35;V;51;V;52;V;48;V;41;V;32;V;10;V;6;V;14;V;26;V;52;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;7;28079055_7_8;2023;10;04;36;V;15;V;1;V;1;V;1;V;6;V;17;V;49;V;82;V;38;V;29;V;13;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;8;28079055_8_8;2023;10;04;83;V;71;V;30;V;7;V;16;V;42;V;51;V;67;V;72;V;50;V;48;V;32;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;10;28079055_10_47;2023;10;04;41;V;30;V;26;V;22;V;20;V;22;V;26;V;26;V;24;V;1;V;11;V;35;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;12;28079055_12_8;2023;10;04;138;V;93;V;31;V;8;V;17;V;52;V;76;V;143;V;197;V;108;V;93;V;51;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;20;28079055_20_59;2023;10;04;3.6;V;2.1;V;1.2;V;0.7;V;0.7;V;0.6;V;0.7;V;0.6;V;1.1;V;0.9;V;1.1;V;1.6;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;30;28079055_30_59;2023;10;04;0.6;V;0.4;V;0.3;V;0.2;V;0.2;V;0.1;V;0.2;V;0.2;V;0.4;V;0.3;V;0.3;V;0.2;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;55;35;28079055_35_59;2023;10;04;0.6;V;0.4;V;0.4;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.2;V;0.1;V;0.2;V;0.2;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;56;6;28079056_6_48;2023;10;04;0.4;V;0.4;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.4;V;0.5;V;0.5;V;0.3;V;0.3;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;56;7;28079056_7_8;2023;10;04;19;V;12;V;4;V;3;V;3;V;4;V;13;V;25;V;43;V;47;V;22;V;15;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;56;8;28079056_8_8;2023;10;04;75;V;65;V;35;V;24;V;15;V;22;V;41;V;47;V;64;V;68;V;48;V;35;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;56;9;28079056_9_47;2023;10;04;19;V;20;V;19;V;15;V;18;V;17;V;17;V;14;V;21;V;17;V;19;V;21;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;56;10;28079056_10_47;2023;10;04;36;V;38;V;33;V;29;V;31;V;30;V;31;V;26;V;38;V;45;V;42;V;38;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;56;12;28079056_12_8;2023;10;04;104;V;84;V;41;V;29;V;19;V;28;V;61;V;85;V;130;V;140;V;82;V;58;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
